Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
1196.56,1196.54,17,32.7,19,13.57,-3.1,-4.39,-8.77,127.32,225
1205.69,1205.66,16.81,32.49,18.8,13.38,-5.2,-7.36,-14.72,127.32,225
1214.81,1214.79,16.64,32.24,18.6,13.2,-3.62,-5.12,-10.24,127.32,225
1223.94,1223.92,16.45,32.02,18.41,13.02,-0.66,-0.93,-1.87,127.32,225
1233.07,1233.05,16.27,31.81,18.21,12.83,-3.82,-5.4,-10.79,127.32,225
1242.19,1242.17,16.08,31.58,18.01,12.64,-4.45,-6.3,-12.6,127.32,225
1251.32,1251.3,15.91,31.35,17.82,12.46,-6.39,-9.03,-18.06,127.32,225
1260.45,1260.43,15.73,31.11,17.62,12.28,-9.66,-13.66,-27.32,127.32,225
1269.58,1269.55,15.56,30.86,17.42,12.1,-3.86,-5.46,-10.92,127.32,225
1278.7,1278.68,15.38,30.63,17.23,11.92,-4.69,-6.63,-13.27,127.32,225
1287.83,1287.81,15.2,30.4,17.03,11.74,-1.86,-2.63,-5.26,127.32,225
1296.96,1296.93,15.01,30.19,16.83,11.54,-9.48,-13.41,-26.83,127.32,225
1306.08,1306.06,14.84,29.95,16.63,11.37,-4.81,-6.81,-13.61,127.32,225
1315.21,1315.19,14.66,29.72,16.44,11.18,-2.26,-3.19,-6.38,127.32,225
1324.34,1324.31,14.47,29.5,16.24,10.99,-7.36,-10.41,-20.83,127.32,225
1333.46,1333.44,14.3,29.25,16.04,10.82,-1.23,-1.74,-3.47,127.32,225
1342.59,1342.57,14.11,29.05,15.85,10.62,-3.15,-4.45,-8.9,127.32,225
1351.72,1351.69,13.92,28.83,15.65,10.44,-0.5,-0.71,-1.42,127.32,225
1360.84,1360.82,13.74,28.61,15.45,10.25,-5.45,-7.71,-15.41,127.32,225
1369.97,1369.95,13.56,28.38,15.26,10.06,-1.73,-2.45,-4.89,127.32,225
1379.1,1379.07,13.36,28.17,15.06,9.87,-15.32,-21.66,-43.32,127.32,225
